Player,Nation,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Position 1,Position 2
Michel Aebischer,SUI,Bologna,it Serie A,26 years,24.8,35.0,20,9,20,6,15.0,34,44.1,19,28,6,22,12,47,22,0,Midfielder,
Emmanuel Agbadou,CIV,Reims,fr Ligue 1,26 years,28.8,65.0,41,38,23,4,44.0,64,68.8,20,47,25,22,55,120,116,1,Defender,
Julen Agirrezabala,ESP,Athletic Club,es La Liga,22 years,2.6,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Goalkeeper,
Lucien Agoume,FRA,Inter,it Serie A,21 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Lucien Agoume,FRA,Sevilla,es La Liga,21 years,8.6,23.0,18,7,14,2,9.0,12,75.0,3,6,1,5,7,30,8,0,Midfielder,
Felix Agu,GER,Werder Bremen,de Bundesliga,23 years,17.9,45.0,29,28,13,4,29.0,41,70.7,12,27,7,20,13,58,41,0,Defender,Midfielder
Nayef Aguerd,MAR,West Ham,eng Premier League,27 years,20.6,26.0,14,19,7,0,16.0,22,72.7,6,33,24,9,17,43,85,2,Defender,
Ruben Aguilar,FRA,Lens,fr Ligue 1,30 years,21.4,53.0,31,27,23,3,27.0,45,60.0,18,35,5,30,26,79,46,0,Defender,
Brandon Aguilera,CRC,Nottingham Forest,eng Premier League,20 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Naouirou Ahamada,FRA,Crystal Palace,eng Premier League,21 years,3.9,13.0,9,5,6,2,8.0,17,47.1,9,3,0,3,2,15,4,0,Midfielder,Forward
Anel Ahmedhodžić,BIH,Sheffield Utd,eng Premier League,24 years,29.4,64.0,36,48,14,2,30.0,49,61.2,19,43,26,17,34,98,137,2,Defender,
Joseph Aidoo,GHA,Celta Vigo,es La Liga,27 years,4.5,8.0,3,6,2,0,4.0,8,50.0,4,3,1,2,4,12,28,0,Defender,
Ola Aina,NGA,Nottingham Forest,eng Premier League,26 years,18.8,47.0,31,31,12,4,29.0,40,72.5,11,19,3,16,18,65,51,1,Defender,
Rayan Aït-Nouri,ALG,Wolves,eng Premier League,22 years,25.9,71.0,44,41,23,7,28.0,49,57.1,21,32,6,26,15,86,38,0,Defender,Midfielder
Tosin Aiyegun,BEN,Lorient,fr Ligue 1,25 years,10.0,6.0,4,2,3,1,3.0,9,33.3,6,4,1,3,2,8,8,0,Midfielder,Forward
Kristoffer Ajer,NOR,Brentford,eng Premier League,25 years,20.4,38.0,21,25,9,4,23.0,36,63.9,13,26,11,15,25,63,79,1,Defender,
Ludovic Ajorque,FRA,Mainz 05,de Bundesliga,29 years,15.1,3.0,2,1,2,0,2.0,11,18.2,9,6,2,4,4,7,11,0,Forward,
Manuel Akanji,SUI,Manchester City,eng Premier League,28 years,27.9,42.0,28,16,18,8,22.0,39,56.4,17,28,12,16,23,65,70,3,Defender,Midfielder
Marley Aké,FRA,Udinese,it Serie A,22 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Nathan Aké,NED,Manchester City,eng Premier League,28 years,22.7,26.0,16,15,8,3,13.0,20,65.0,7,17,2,15,14,40,54,0,Defender,
Ilias Akhomach,MAR,Villarreal,es La Liga,19 years,16.8,36.0,21,11,16,9,10.0,20,50.0,10,10,2,8,13,49,13,0,Midfielder,Forward
Sergio Akieme,ESP,Almería,es La Liga,25 years,18.6,27.0,15,18,7,2,13.0,16,81.3,3,14,4,10,10,37,34,0,Defender,
Sergio Akieme,ESP,Reims,fr Ligue 1,25 years,9.1,11.0,5,6,3,2,8.0,11,72.7,3,9,3,6,10,21,25,0,Defender,
Ebenezer Akinsanmiro,NGA,Inter,it Serie A,18 years,0.2,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,0,0,Midfielder,
Maghnes Akliouche,FRA,Monaco,fr Ligue 1,21 years,17.9,37.0,23,12,20,5,12.0,36,33.3,24,21,0,21,9,46,3,0,Midfielder,Forward
Paul Akouokou,CIV,Betis,es La Liga,25 years,0.3,5.0,3,0,2,3,3.0,3,100.0,0,3,1,2,1,6,1,0,Midfielder,
Paul Akouokou,CIV,Lyon,fr Ligue 1,25 years,3.4,14.0,9,2,10,2,6.0,7,85.7,1,5,1,4,6,20,11,0,Midfielder,
Jean-Daniel Akpa-Akpro,CIV,Monza,it Serie A,30 years,7.8,20.0,11,14,4,2,3.0,9,33.3,6,10,4,6,12,32,15,1,Midfielder,
David Akpan Ankeye,NGA,Genoa,it Serie A,21 years,0.6,1.0,0,0,1,0,0.0,1,0.0,1,1,0,1,0,1,0,0,Forward,
Kevin Akpoguma,NGA,Hoffenheim,de Bundesliga,28 years,12.2,35.0,18,22,12,1,26.0,35,74.3,9,28,8,20,18,53,32,0,Defender,
David Alaba,AUT,Real Madrid,es La Liga,31 years,12.8,13.0,9,7,5,1,4.0,8,50.0,4,10,7,3,15,28,34,0,Defender,
Luis Alberto,ESP,Lazio,it Serie A,30 years,25.7,35.0,20,16,12,7,15.0,53,28.3,38,34,4,30,7,42,13,0,Midfielder,
Raúl Albiol,ESP,Villarreal,es La Liga,37 years,22.6,25.0,14,15,9,1,18.0,27,66.7,9,31,24,7,16,41,102,0,Defender,
Thiago Alcántara,ESP,Liverpool,eng Premier League,32 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Carlos Alcaraz,ARG,Juventus,it Serie A,20 years,4.2,6.0,6,0,6,0,5.0,10,50.0,5,5,2,3,5,11,4,0,Midfielder,
Rubén Alcaraz,ESP,Cádiz,es La Liga,32 years,34.8,97.0,59,39,52,6,50.0,121,41.3,71,60,14,46,33,130,55,2,Midfielder,
Omar Alderete,PAR,Getafe,es La Liga,26 years,24.4,28.0,21,15,13,0,19.0,35,54.3,16,30,18,12,13,41,111,0,Defender,
Iván Alejo,ESP,Cádiz,es La Liga,28 years,18.8,40.0,23,23,11,6,17.0,57,29.8,40,20,0,20,7,47,17,0,Midfielder,
Carles Aleñá,ESP,Getafe,es La Liga,25 years,11.3,24.0,8,7,14,3,10.0,24,41.7,14,14,3,11,4,28,13,0,Midfielder,
Trent Alexander-Arnold,ENG,Liverpool,eng Premier League,24 years,23.9,39.0,26,26,11,2,27.0,87,31.0,60,22,2,20,31,70,48,5,Defender,
Aboubacar Ali,COM,Strasbourg,fr Ligue 1,17 years,1.4,2.0,0,0,2,0,0.0,0,,0,1,0,1,1,3,2,0,Midfielder,Forward
Mohamed Ali Cho,FRA,Real Sociedad,es La Liga,19 years,2.8,4.0,3,3,1,0,2.0,7,28.6,5,6,0,6,1,5,1,0,Forward,Midfielder
Mohamed Ali Cho,FRA,Nice,fr Ligue 1,19 years,9.6,12.0,9,4,7,1,3.0,11,27.3,8,10,0,10,3,15,6,0,Forward,
Faride Alidou,GER,Köln,de Bundesliga,22 years,14.2,10.0,4,3,6,1,4.0,18,22.2,14,23,2,21,8,18,15,1,Forward,Midfielder
Nabil Alioui,FRA,Le Havre,fr Ligue 1,24 years,11.2,3.0,2,2,1,0,2.0,4,50.0,2,6,1,5,3,6,4,0,Midfielder,Forward
Alisson,BRA,Liverpool,eng Premier League,30 years,28.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,11,4,Goalkeeper,
Tadeo Allende,ARG,Celta Vigo,es La Liga,24 years,3.7,6.0,1,3,2,1,4.0,6,66.7,2,3,0,3,3,9,3,0,Midfielder,Forward
Jim Allevinah,GAB,Clermont Foot,fr Ligue 1,28 years,20.7,30.0,18,11,14,5,14.0,35,40.0,21,20,3,17,13,43,30,0,Midfielder,Defender
Domingos André Ribeiro Almeida,POR,Valencia,es La Liga,23 years,10.7,25.0,15,9,12,4,9.0,19,47.4,10,13,1,12,6,31,5,0,Forward,Midfielder
Miguel Almirón,PAR,Newcastle Utd,eng Premier League,29 years,21.5,36.0,24,13,15,8,11.0,29,37.9,18,29,2,27,10,46,13,0,Forward,
Pontus Almqvist,SWE,Lecce,it Serie A,24 years,23.4,45.0,29,16,22,7,23.0,51,45.1,28,21,2,19,14,59,10,0,Forward,Midfielder
Marcos Alonso,ESP,Barcelona,es La Liga,32 years,2.8,5.0,3,2,3,0,3.0,4,75.0,1,2,0,2,4,9,6,0,Defender,
Adrià Altimira,ESP,Villarreal,es La Liga,22 years,8.6,16.0,7,9,6,1,9.0,24,37.5,15,18,5,13,5,21,18,0,Defender,Midfielder
Sergi Altimira,ESP,Betis,es La Liga,21 years,6.3,15.0,8,8,6,1,11.0,23,47.8,12,12,1,11,9,24,10,0,Midfielder,
Edson Álvarez,MEX,West Ham,eng Premier League,25 years,26.4,80.0,39,47,26,7,31.0,66,47.0,35,59,20,39,42,122,81,0,Midfielder,
Gastón Álvarez,URU,Getafe,es La Liga,23 years,28.2,68.0,37,43,20,5,37.0,57,64.9,20,40,11,29,35,103,80,0,Defender,
Hugo Álvarez,ESP,Celta Vigo,es La Liga,20 years,8.5,14.0,9,8,3,3,9.0,20,45.0,11,4,1,3,5,19,9,0,Midfielder,Defender
Julián Álvarez,ARG,Manchester City,eng Premier League,23 years,29.4,24.0,13,5,8,11,8.0,32,25.0,24,30,0,30,2,26,14,1,Midfielder,Forward
Yeray Álvarez,ESP,Athletic Club,es La Liga,28 years,12.8,18.0,9,15,3,0,12.0,19,63.2,7,8,5,3,11,29,34,1,Defender,
Skelly Alvero,FRA,Lyon,fr Ligue 1,21 years,4.7,8.0,7,5,2,1,2.0,9,22.2,7,5,1,4,2,10,5,0,Midfielder,
Skelly Alvero,FRA,Werder Bremen,de Bundesliga,21 years,1.4,6.0,4,1,5,0,3.0,3,100.0,0,3,1,2,1,7,1,0,Midfielder,
Papa Amadou Diallo,SEN,Metz,fr Ligue 1,19 years,9.9,18.0,8,10,7,1,7.0,21,33.3,14,11,1,10,11,29,16,0,Forward,
Selim Amallah,MAR,Valencia,es La Liga,26 years,6.7,17.0,12,7,7,3,3.0,9,33.3,6,13,0,13,11,28,6,0,Forward,Midfielder
Amath,SEN,Mallorca,es La Liga,27 years,4.4,9.0,6,7,2,0,2.0,10,20.0,8,2,0,2,3,12,6,0,Forward,Midfielder
Lorenzo Amatucci,ITA,Fiorentina,it Serie A,19 years,0.2,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Jordan Amavi,FRA,Brest,fr Ligue 1,29 years,1.0,1.0,1,0,1,0,1.0,3,33.3,2,2,1,1,3,4,2,0,Defender,
Zeki Amdouni,SUI,Burnley,eng Premier League,22 years,21.7,27.0,18,1,15,11,7.0,25,28.0,18,23,10,13,9,36,10,0,Forward,
Kelvin Amian,FRA,Nantes,fr Ligue 1,25 years,8.9,16.0,7,12,4,0,11.0,15,73.3,4,6,0,6,7,23,28,0,Defender,
Bruno Amione,ARG,Hellas Verona,it Serie A,21 years,6.4,11.0,3,9,2,0,4.0,5,80.0,1,4,2,2,9,20,19,2,Defender,
Michael Amir Murillo,PAN,Marseille,fr Ligue 1,27 years,11.1,23.0,11,13,6,4,15.0,23,65.2,8,9,2,7,11,34,34,2,Defender,
Nadiem Amiri,GER,Mainz 05,de Bundesliga,26 years,14.6,22.0,14,8,10,4,13.0,19,68.4,6,16,2,14,14,36,18,0,Midfielder,
Nadiem Amiri,GER,Leverkusen,de Bundesliga,26 years,1.0,4.0,2,0,3,1,0.0,3,0.0,3,0,0,0,0,4,1,0,Midfielder,
Kofi Amoako,GER,Wolfsburg,de Bundesliga,18 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Sofyan Amrabat,MAR,Manchester Utd,eng Premier League,26 years,10.4,27.0,16,17,8,2,17.0,31,54.8,14,20,7,13,8,35,19,2,Midfielder,Defender
Joachim Andersen,DEN,Crystal Palace,eng Premier League,27 years,37.9,56.0,35,33,21,2,29.0,39,74.4,10,33,18,15,41,97,207,1,Defender,
Elliot Anderson,ENG,Newcastle Utd,eng Premier League,20 years,11.4,24.0,18,12,9,3,15.0,29,51.7,14,23,4,19,8,32,23,0,Midfielder,Forward
Felipe Anderson,BRA,Lazio,it Serie A,30 years,30.8,78.0,45,32,33,13,34.0,90,37.8,56,45,3,42,27,105,23,0,Forward,Midfielder
Benjamin André,FRA,Lille,fr Ligue 1,32 years,28.6,89.0,49,39,45,5,43.0,81,53.1,38,34,5,29,35,124,60,0,Midfielder,
Komnen Andrić,SRB,Clermont Foot,fr Ligue 1,28 years,1.9,2.0,1,0,1,1,0.0,4,0.0,4,2,0,2,0,2,1,0,Forward,
Robert Andrich,GER,Leverkusen,de Bundesliga,28 years,18.8,30.0,18,8,14,8,13.0,24,54.2,11,15,4,11,20,50,17,0,Midfielder,Defender
Miguel Ángel Rubio,ESP,Granada,es La Liga,25 years,17.3,20.0,12,14,6,0,14.0,21,66.7,7,31,18,13,28,48,74,2,Defender,
Angeliño,ESP,Roma,it Serie A,26 years,12.7,21.0,11,12,6,3,11.0,19,57.9,8,11,5,6,12,33,37,1,Defender,
Ângelo,BRA,Strasbourg,fr Ligue 1,18 years,12.2,24.0,11,9,7,8,11.0,31,35.5,20,18,0,18,9,33,2,0,Forward,Midfielder
Fabrizio Angileri,ARG,Getafe,es La Liga,29 years,1.8,1.0,1,1,0,0,1.0,3,33.3,2,0,0,0,4,5,8,0,Defender,Midfielder
Jaidon Anthony,ENG,Bournemouth,eng Premier League,23 years,1.7,3.0,1,1,0,2,1.0,7,14.3,6,3,0,3,1,4,3,0,Forward,
Waldemar Anton,GER,Stuttgart,de Bundesliga,27 years,32.1,39.0,25,21,16,2,23.0,42,54.8,19,33,20,13,40,79,150,1,Defender,
Michail Antonio,JAM,West Ham,eng Premier League,33 years,18.8,15.0,8,5,6,4,3.0,11,27.3,8,16,3,13,4,19,4,0,Forward,
Antony,BRA,Manchester Utd,eng Premier League,23 years,14.7,40.0,21,15,19,6,20.0,40,50.0,20,29,1,28,12,52,9,0,Forward,
Christopher Antwi-Adjei,GHA,Bochum,de Bundesliga,29 years,13.5,21.0,12,10,6,5,12.0,22,54.5,10,13,2,11,2,23,11,1,Forward,Midfielder
Houssem Aouar,ALG,Roma,it Serie A,25 years,8.4,16.0,11,4,10,2,3.0,12,25.0,9,5,0,5,4,20,2,1,Midfielder,Forward
Stredair Appuah,FRA,Nantes,fr Ligue 1,19 years,0.9,0.0,0,0,0,0,0.0,3,0.0,3,0,0,0,1,1,1,0,Forward,Midfielder
Mauro Arambarri,URU,Getafe,es La Liga,27 years,3.8,6.0,2,3,2,1,1.0,6,16.7,5,1,0,1,2,8,7,0,Midfielder,
Jon Aramburu,VEN,Real Sociedad,es La Liga,21 years,6.0,24.0,15,12,10,2,15.0,25,60.0,10,8,3,5,7,31,17,0,Defender,
Asaf Arania,ISR,Darmstadt 98,de Bundesliga,17 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Julian Araujo,MEX,Las Palmas,es La Liga,21 years,16.2,41.0,22,29,7,5,23.0,33,69.7,10,23,16,7,10,51,52,1,Defender,
Ronald Araújo,URU,Barcelona,es La Liga,24 years,22.2,27.0,22,11,15,1,12.0,17,70.6,5,20,11,9,12,39,66,2,Defender,
Oliver Arblaster,ENG,Sheffield Utd,eng Premier League,19 years,10.5,23.0,14,11,8,4,7.0,15,46.7,8,17,7,10,16,39,9,0,Midfielder,
Cameron Archer,ENG,Sheffield Utd,eng Premier League,22 years,20.4,18.0,13,6,6,6,8.0,18,44.4,10,22,3,19,1,19,11,0,Forward,Midfielder
Cameron Archer,ENG,Aston Villa,eng Premier League,22 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Alphonse Areola,FRA,West Ham,eng Premier League,30 years,30.0,1.0,1,1,0,0,1.0,3,33.3,2,0,0,0,1,2,16,0,Goalkeeper,
Adu Ares,ESP,Athletic Club,es La Liga,21 years,2.9,8.0,4,4,2,2,2.0,3,66.7,1,1,0,1,1,9,0,0,Forward,
Jesús Areso,ESP,Osasuna,es La Liga,24 years,29.6,45.0,24,25,13,7,31.0,38,81.6,7,36,15,21,18,63,58,0,Defender,
Simone Aresti,ITA,Cagliari,it Serie A,37 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Goalkeeper,
Matias Arezo,URU,Granada,es La Liga,20 years,4.1,7.0,3,2,5,0,1.0,5,20.0,4,4,1,3,1,8,4,0,Forward,
Iñigo Arguibide,ESP,Osasuna,es La Liga,18 years,0.2,1.0,0,0,1,0,0.0,0,,0,0,0,0,0,1,1,0,Defender,
Yoël Armougom,FRA,Clermont Foot,fr Ligue 1,25 years,2.6,3.0,3,2,0,1,2.0,3,66.7,1,1,0,1,1,4,3,0,Defender,Midfielder
José Arnaiz,ESP,Osasuna,es La Liga,28 years,10.3,14.0,8,6,4,4,6.0,21,28.6,15,11,2,9,3,17,2,0,Forward,Midfielder
Hákon Arnar Haraldsson,ISL,Lille,fr Ligue 1,20 years,14.3,12.0,8,4,7,1,5.0,21,23.8,16,7,2,5,3,15,5,0,Forward,Midfielder
Marko Arnautović,AUT,Inter,it Serie A,34 years,8.9,10.0,4,3,5,2,4.0,7,57.1,3,8,1,7,5,15,5,0,Forward,
Maximilian Arnold,GER,Wolfsburg,de Bundesliga,29 years,27.8,51.0,31,15,27,9,28.0,57,49.1,29,23,4,19,24,75,60,0,Midfielder,
Mohamed El Arouch,FRA,Lyon,fr Ligue 1,19 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Sergio Arribas,ESP,Almería,es La Liga,21 years,22.7,34.0,17,16,17,1,14.0,31,45.2,17,20,1,19,16,50,8,1,Midfielder,Forward
Kepa Arrizabalaga,ESP,Real Madrid,es La Liga,28 years,13.3,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,4,0,Goalkeeper,
Arthur,BRA,Leverkusen,de Bundesliga,20 years,2.0,4.0,3,2,0,2,2.0,2,100.0,0,1,1,0,0,4,7,0,Defender,
Takuma Asano,JPN,Bochum,de Bundesliga,28 years,22.1,17.0,6,2,9,6,7.0,23,30.4,16,17,3,14,4,21,11,0,Forward,Midfielder
Marco Asensio,ESP,Paris S-G,fr Ligue 1,27 years,12.4,12.0,10,4,7,1,4.0,13,30.8,9,7,0,7,5,17,2,0,Midfielder,Forward
Kristjan Asllani,ALB,Inter,it Serie A,21 years,8.7,7.0,2,3,4,0,2.0,11,18.2,9,9,3,6,11,18,8,0,Midfielder,
Joel Asoro,SWE,Metz,fr Ligue 1,24 years,9.4,13.0,9,7,6,0,3.0,10,30.0,7,7,1,6,6,19,9,0,Forward,Midfielder
Jonathan Asp Jensen,DEN,Bayern Munich,de Bundesliga,17 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,0,Forward,
Iago Aspas,ESP,Celta Vigo,es La Liga,35 years,30.1,11.0,6,4,6,1,1.0,15,6.7,14,23,3,20,10,21,8,0,Forward,
Lorenz Assignon,TOG,Burnley,eng Premier League,23 years,13.7,35.0,17,18,13,4,14.0,27,51.9,13,22,7,15,19,54,43,1,Defender,
Lorenz Assignon,TOG,Rennes,fr Ligue 1,23 years,11.2,24.0,12,12,8,4,9.0,24,37.5,15,9,4,5,9,33,27,1,Defender,
Youcef Atal,ALG,Nice,fr Ligue 1,27 years,4.0,9.0,3,6,2,1,6.0,8,75.0,2,7,1,6,4,13,1,0,Defender,
Valentin Atangana Edoa,FRA,Reims,fr Ligue 1,17 years,6.2,19.0,13,6,9,4,5.0,13,38.5,8,5,1,4,6,25,9,0,Midfielder,
Arthur Atta,FRA,Metz,fr Ligue 1,20 years,10.3,18.0,14,8,7,3,8.0,19,42.1,11,13,3,10,10,28,23,0,Midfielder,Forward
Noah Atubolu,GER,Freiburg,de Bundesliga,21 years,34.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,8,1,Goalkeeper,
Pierre-Emerick Aubameyang,GAB,Marseille,fr Ligue 1,34 years,29.1,22.0,14,4,11,7,7.0,26,26.9,19,30,5,25,9,31,26,0,Forward,
Emil Audero,IDN,Inter,it Serie A,26 years,3.7,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,0,Goalkeeper,
Tommaso Augello,ITA,Cagliari,it Serie A,28 years,26.9,26.0,19,18,6,2,16.0,25,64.0,9,21,10,11,17,43,89,0,Defender,
Carlos Augusto,BRA,Inter,it Serie A,24 years,19.2,29.0,21,20,9,0,15.0,22,68.2,7,20,8,12,16,45,52,0,Defender,
Yann Aurel Bisseck,GER,Inter,it Serie A,22 years,10.0,14.0,6,10,3,1,6.0,9,66.7,3,10,7,3,5,19,23,0,Defender,
Serge Aurier,CIV,Nottingham Forest,eng Premier League,30 years,9.3,20.0,14,9,11,0,5.0,11,45.5,6,10,3,7,9,29,36,1,Defender,Midfielder
Ezequiel Ávila,ARG,Osasuna,es La Liga,29 years,9.6,3.0,2,1,1,1,3.0,11,27.3,8,14,0,14,4,7,8,0,Forward,Midfielder
Ezequiel Ávila,ARG,Betis,es La Liga,29 years,3.3,2.0,1,0,2,0,1.0,3,33.3,2,2,0,2,1,3,4,0,Forward,
Taiwo Awoniyi,NGA,Nottingham Forest,eng Premier League,25 years,11.6,9.0,7,1,4,4,1.0,2,50.0,1,7,2,5,1,10,9,0,Forward,
André Ayew,GHA,Le Havre,fr Ligue 1,33 years,12.3,15.0,11,7,6,2,6.0,9,66.7,3,8,3,5,2,17,11,0,Forward,
Jordan Ayew,GHA,Crystal Palace,eng Premier League,31 years,28.3,65.0,36,23,28,14,21.0,42,50.0,21,43,2,41,16,81,15,0,Forward,Midfielder
Neil El Aynaoui,FRA,Lens,fr Ligue 1,22 years,17.4,37.0,20,13,20,4,20.0,46,43.5,26,20,6,14,32,69,21,1,Midfielder,
Sardar Azmoun,IRN,Roma,it Serie A,28 years,6.5,8.0,5,2,5,1,4.0,8,50.0,4,4,1,3,3,11,6,1,Forward,Midfielder
César Azpilicueta,ESP,Atlético Madrid,es La Liga,33 years,15.8,25.0,14,15,9,1,12.0,19,63.2,7,25,6,19,16,41,46,0,Defender,
Paulo Azzi,BRA,Cagliari,it Serie A,29 years,10.6,19.0,11,10,6,3,9.0,18,50.0,9,11,2,9,16,35,23,0,Defender,Midfielder
Oussama El Azzouzi,MAR,Bologna,it Serie A,22 years,6.1,12.0,7,4,5,3,7.0,14,50.0,7,8,2,6,6,18,12,0,Midfielder,
Abdellah Baallal,MAR,Clermont Foot,fr Ligue 1,18 years,0.0,0.0,0,0,0,0,0.0,0,,0,1,0,1,0,0,0,0,Midfielder,
Iddrisu Baba,GHA,Almería,es La Liga,27 years,15.9,46.0,26,27,18,1,17.0,39,43.6,22,20,6,14,11,57,27,2,Midfielder,
Srđan Babić,SRB,Almería,es La Liga,27 years,1.0,2.0,2,0,2,0,1.0,1,100.0,0,1,1,0,0,2,2,0,Defender,
