Player,Nation,Squad,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Ola Aina,NGA,Nottingham Forest,"26 years,  days",18.8,38,2.02,25.0,5.0,3.0,1.0,3.0,1.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Rayan Aït-Nouri,ALG,Wolves,"22 years,  days",25.9,65,2.51,41.0,9.0,6.0,3.0,6.0,0.0,5,0.19,2.0,0.0,0.0,0.0,3.0,0.0,Defender,Midfielder
Kristoffer Ajer,NOR,Brentford,"25 years,  days",20.4,27,1.33,24.0,0.0,1.0,2.0,0.0,0.0,3,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Manuel Akanji,SUI,Manchester City,"28 years,  days",27.9,55,1.97,45.0,1.0,0.0,3.0,2.0,4.0,4,0.14,4.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Nathan Aké,NED,Manchester City,"28 years,  days",22.7,36,1.59,28.0,0.0,2.0,4.0,1.0,1.0,6,0.26,3.0,0.0,1.0,2.0,0.0,0.0,Defender,
Thiago Alcántara,ESP,Liverpool,"32 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Trent Alexander-Arnold,ENG,Liverpool,"24 years,  days",23.9,126,5.27,80.0,33.0,5.0,6.0,0.0,2.0,7,0.29,4.0,3.0,0.0,0.0,0.0,0.0,Defender,
Alisson,BRA,Liverpool,"30 years,  days",28.0,11,0.39,10.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Miguel Almirón,PAR,Newcastle Utd,"29 years,  days",21.5,52,2.41,40.0,1.0,3.0,7.0,1.0,0.0,4,0.19,2.0,1.0,0.0,1.0,0.0,0.0,Forward,
Edson Álvarez,MEX,West Ham,"25 years,  days",26.4,32,1.21,24.0,0.0,2.0,3.0,0.0,3.0,2,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Julián Álvarez,ARG,Manchester City,"23 years,  days",29.4,118,4.01,74.0,28.0,4.0,10.0,2.0,0.0,15,0.51,12.0,1.0,0.0,0.0,2.0,0.0,Midfielder,Forward
Zeki Amdouni,SUI,Burnley,"22 years,  days",21.7,50,2.3,30.0,0.0,5.0,7.0,5.0,3.0,4,0.18,1.0,0.0,2.0,0.0,1.0,0.0,Forward,
Sofyan Amrabat,MAR,Manchester Utd,"26 years,  days",10.4,19,1.82,19.0,0.0,0.0,0.0,0.0,0.0,1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Joachim Andersen,DEN,Crystal Palace,"27 years,  days",37.9,47,1.24,41.0,1.0,0.0,3.0,0.0,2.0,5,0.13,5.0,0.0,0.0,0.0,0.0,0.0,Defender,
Elliot Anderson,ENG,Newcastle Utd,"20 years,  days",11.4,34,2.98,28.0,0.0,4.0,2.0,0.0,0.0,3,0.26,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Jaidon Anthony,ENG,Bournemouth,"23 years,  days",1.7,3,1.78,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Michail Antonio,JAM,West Ham,"33 years,  days",18.8,33,1.75,18.0,1.0,5.0,3.0,4.0,2.0,5,0.27,4.0,0.0,1.0,0.0,0.0,0.0,Forward,
Antony,BRA,Manchester Utd,"23 years,  days",14.7,55,3.74,45.0,1.0,2.0,0.0,4.0,3.0,3,0.2,1.0,0.0,0.0,0.0,0.0,2.0,Forward,
Oliver Arblaster,ENG,Sheffield Utd,"19 years,  days",10.5,23,2.2,19.0,2.0,0.0,1.0,0.0,1.0,2,0.19,1.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Cameron Archer,ENG,Sheffield Utd,"22 years,  days",20.4,49,2.41,32.0,0.0,9.0,5.0,1.0,2.0,4,0.2,2.0,0.0,1.0,1.0,0.0,0.0,Forward,Midfielder
Cameron Archer,ENG,Aston Villa,"22 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Alphonse Areola,FRA,West Ham,"30 years,  days",30.0,2,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Lorenz Assignon,TOG,Burnley,"23 years,  days",13.7,23,1.68,18.0,3.0,1.0,0.0,1.0,0.0,2,0.15,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Serge Aurier,CIV,Nottingham Forest,"30 years,  days",9.3,15,1.62,12.0,1.0,1.0,0.0,1.0,0.0,2,0.22,2.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Taiwo Awoniyi,NGA,Nottingham Forest,"25 years,  days",11.6,30,2.6,22.0,0.0,2.0,0.0,4.0,2.0,6,0.52,5.0,0.0,1.0,0.0,0.0,0.0,Forward,
Jordan Ayew,GHA,Crystal Palace,"31 years,  days",28.3,72,2.55,40.0,5.0,5.0,7.0,12.0,3.0,12,0.42,10.0,0.0,1.0,0.0,1.0,0.0,Forward,Midfielder
Benoît Badiashile,FRA,Chelsea,"22 years,  days",14.9,23,1.55,18.0,0.0,0.0,2.0,1.0,2.0,3,0.2,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Leon Bailey,JAM,Aston Villa,"25 years,  days",23.0,97,4.22,70.0,7.0,9.0,7.0,3.0,1.0,11,0.48,7.0,1.0,1.0,2.0,0.0,0.0,Midfielder,Forward
Stefan Bajcetic,ESP,Liverpool,"18 years,  days",0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
George Baldock,GRE,Sheffield Utd,"30 years,  days",10.8,16,1.49,10.0,3.0,2.0,0.0,1.0,0.0,2,0.19,1.0,0.0,0.0,0.0,1.0,0.0,Defender,
Carlos Baleba,CMR,Brighton,"19 years,  days",14.7,17,1.15,16.0,0.0,0.0,1.0,0.0,0.0,1,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Fodé Ballo-Touré,SEN,Fulham,"26 years,  days",0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Shandon Baptiste,GRN,Brentford,"25 years,  days",2.5,5,1.96,4.0,0.0,1.0,0.0,0.0,0.0,1,0.39,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Valentín Barco,ARG,Brighton,"19 years,  days",3.4,8,2.35,5.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Ross Barkley,ENG,Luton Town,"29 years,  days",29.1,104,3.58,67.0,11.0,14.0,6.0,3.0,3.0,11,0.38,6.0,2.0,1.0,1.0,1.0,0.0,Midfielder,
Harvey Barnes,ENG,Newcastle Utd,"25 years,  days",8.9,29,3.25,18.0,0.0,5.0,3.0,3.0,0.0,6,0.67,4.0,0.0,2.0,0.0,0.0,0.0,Forward,Midfielder
Chris Basham,ENG,Sheffield Utd,"35 years,  days",3.6,3,0.84,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Calvin Bassey,NGA,Fulham,"23 years,  days",25.6,15,0.59,13.0,0.0,0.0,2.0,0.0,0.0,2,0.08,0.0,0.0,0.0,2.0,0.0,0.0,Defender,
Owen Beck,WAL,Liverpool,"20 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Donny van de Beek,NED,Manchester Utd,"26 years,  days",0.0,1,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Amari'i Bell,JAM,Luton Town,"29 years,  days",19.1,25,1.31,22.0,0.0,0.0,0.0,2.0,1.0,3,0.16,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jean-Ricner Bellegarde,FRA,Wolves,"25 years,  days",10.6,30,2.81,20.0,2.0,6.0,1.0,1.0,0.0,2,0.19,1.0,0.0,1.0,0.0,0.0,0.0,Midfielder,Forward
Anis Ben Slimane,TUN,Sheffield Utd,"22 years,  days",4.7,12,2.58,8.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Saïd Benrahma,ALG,West Ham,"27 years,  days",6.9,26,3.77,23.0,0.0,3.0,0.0,0.0,0.0,1,0.15,1.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Rodrigo Bentancur,URU,Tottenham,"26 years,  days",11.2,31,2.78,26.0,0.0,1.0,2.0,0.0,2.0,4,0.36,3.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Daniel Bentley,ENG,Wolves,"30 years,  days",4.3,1,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Jóhann Berg Guðmundsson,ISL,Burnley,"32 years,  days",13.2,50,3.78,28.0,17.0,0.0,2.0,3.0,0.0,5,0.38,3.0,2.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Sander Berge,NOR,Burnley,"25 years,  days",33.4,67,2.01,63.0,0.0,3.0,0.0,1.0,0.0,8,0.24,7.0,0.0,1.0,0.0,0.0,0.0,Midfielder,
Luke Berry,ENG,Luton Town,"31 years,  days",3.6,6,1.67,2.0,1.0,1.0,2.0,0.0,0.0,1,0.28,0.0,0.0,1.0,0.0,0.0,0.0,Midfielder,Defender
Beto,GNB,Everton,"25 years,  days",10.6,32,3.03,19.0,0.0,6.0,3.0,2.0,2.0,1,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Jordan Beyer,GER,Burnley,"23 years,  days",13.7,10,0.73,10.0,0.0,0.0,0.0,0.0,0.0,1,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Philip Billing,DEN,Bournemouth,"27 years,  days",15.5,46,2.96,40.0,2.0,1.0,2.0,1.0,0.0,5,0.32,5.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Yves Bissouma,MLI,Tottenham,"26 years,  days",23.0,44,1.91,35.0,2.0,3.0,0.0,0.0,4.0,3,0.13,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Benicio Boaitey,ENG,Brighton,"19 years,  days",0.4,2,4.5,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Defender
Oscar Bobb,NOR,Manchester City,"20 years,  days",3.4,22,6.56,16.0,0.0,4.0,1.0,1.0,0.0,6,1.79,3.0,0.0,2.0,0.0,1.0,0.0,Forward,Midfielder
Jayden Bogle,ENG,Sheffield Utd,"23 years,  days",31.0,33,1.07,26.0,1.0,3.0,1.0,2.0,0.0,1,0.03,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Willy Boly,CIV,Nottingham Forest,"32 years,  days",16.0,16,1.0,14.0,0.0,0.0,2.0,0.0,0.0,2,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Sven Botman,NED,Newcastle Utd,"23 years,  days",15.3,14,0.92,12.0,0.0,0.0,2.0,0.0,0.0,3,0.2,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jarrod Bowen,ENG,West Ham,"26 years,  days",33.5,81,2.42,55.0,7.0,6.0,5.0,6.0,2.0,12,0.36,9.0,1.0,0.0,1.0,0.0,1.0,Forward,
Conor Bradley,NIR,Liverpool,"20 years,  days",8.4,27,3.22,18.0,1.0,3.0,2.0,1.0,2.0,3,0.36,2.0,1.0,0.0,0.0,0.0,0.0,Defender,
Jarrad Branthwaite,ENG,Everton,"21 years,  days",34.6,25,0.72,20.0,0.0,0.0,1.0,3.0,1.0,4,0.12,3.0,0.0,0.0,0.0,1.0,0.0,Defender,
Ben Brereton,CHI,Sheffield Utd,"24 years,  days",12.3,31,2.52,21.0,0.0,4.0,2.0,3.0,1.0,4,0.33,2.0,0.0,1.0,0.0,1.0,0.0,Forward,Midfielder
Rhian Brewster,ENG,Sheffield Utd,"23 years,  days",3.8,7,1.82,6.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Armando Broja,ALB,Chelsea,"21 years,  days",5.0,8,1.59,5.0,0.0,1.0,0.0,2.0,0.0,1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,Forward,
Armando Broja,ALB,Fulham,"21 years,  days",1.0,1,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Andre Brooks,ENG,Sheffield Utd,"19 years,  days",10.4,9,0.86,6.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
David Brooks,WAL,Bournemouth,"26 years,  days",3.1,20,6.41,16.0,1.0,1.0,1.0,1.0,0.0,3,0.96,2.0,0.0,1.0,0.0,0.0,0.0,Forward,Midfielder
Jacob Brown,SCO,Luton Town,"25 years,  days",11.3,15,1.33,10.0,0.0,1.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Josh Brownhill,ENG,Burnley,"27 years,  days",25.0,70,2.8,43.0,19.0,1.0,3.0,3.0,1.0,6,0.24,5.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Jacob Bruun Larsen,DEN,Burnley,"24 years,  days",13.9,46,3.31,32.0,11.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Hugo Bueno,ESP,Wolves,"20 years,  days",8.2,17,2.07,14.0,0.0,1.0,1.0,1.0,0.0,2,0.24,2.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Santiago Bueno,URU,Wolves,"24 years,  days",9.1,5,0.55,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Facundo Buonanotte,ARG,Brighton,"18 years,  days",15.2,38,2.51,26.0,1.0,2.0,3.0,5.0,1.0,2,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Reece Burke,ENG,Luton Town,"26 years,  days",18.4,21,1.14,15.0,1.0,0.0,5.0,0.0,0.0,4,0.22,3.0,0.0,0.0,1.0,0.0,0.0,Defender,
Dan Burn,ENG,Newcastle Utd,"31 years,  days",30.3,27,0.89,22.0,2.0,1.0,2.0,0.0,0.0,4,0.13,3.0,0.0,0.0,1.0,0.0,0.0,Defender,
Mason Burstow,ENG,Chelsea,"19 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Moisés Caicedo,ECU,Chelsea,"21 years,  days",31.8,66,2.07,52.0,0.0,3.0,1.0,6.0,4.0,12,0.38,11.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Tom Cairney,SCO,Fulham,"32 years,  days",16.5,71,4.3,62.0,2.0,2.0,2.0,1.0,2.0,13,0.79,11.0,0.0,1.0,0.0,1.0,0.0,Midfielder,
Dominic Calvert-Lewin,ENG,Everton,"26 years,  days",24.1,54,2.24,37.0,0.0,4.0,7.0,4.0,2.0,6,0.25,3.0,0.0,0.0,3.0,0.0,0.0,Forward,
Thomas Cannon,IRL,Everton,"20 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Diego Carlos,BRA,Aston Villa,"30 years,  days",20.2,9,0.45,9.0,0.0,0.0,0.0,0.0,0.0,2,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Cesare Casadei,ITA,Chelsea,"20 years,  days",0.9,4,4.62,2.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Casemiro,BRA,Manchester Utd,"31 years,  days",22.0,41,1.86,35.0,2.0,0.0,3.0,1.0,0.0,4,0.18,4.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Kaelan Casey,ENG,West Ham,"18 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Matty Cash,POL,Aston Villa,"25 years,  days",23.8,44,1.85,34.0,1.0,0.0,6.0,2.0,1.0,8,0.34,7.0,0.0,0.0,0.0,1.0,0.0,Defender,
Timothy Castagne,BEL,Fulham,"27 years,  days",29.3,50,1.71,39.0,2.0,4.0,4.0,0.0,1.0,2,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jonny Castro,ESP,Wolves,"29 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Trevoh Chalobah,ENG,Chelsea,"24 years,  days",10.6,5,0.47,5.0,0.0,0.0,0.0,0.0,0.0,1,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Calum Chambers,ENG,Aston Villa,"28 years,  days",1.7,1,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Youssef Chermiti,POR,Everton,"19 years,  days",2.3,7,3.03,5.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Ben Chilwell,ENG,Chelsea,"26 years,  days",8.4,22,2.62,11.0,8.0,0.0,1.0,2.0,0.0,2,0.24,1.0,0.0,0.0,1.0,0.0,0.0,Defender,
Tawanda Chirewa,ZIM,Wolves,"19 years,  days",1.6,3,1.86,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Leon Chiwome,ENG,Wolves,"17 years,  days",1.9,1,0.52,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Tahith Chong,NED,Luton Town,"23 years,  days",22.0,49,2.22,31.0,0.0,3.0,2.0,11.0,2.0,4,0.18,2.0,0.0,0.0,2.0,0.0,0.0,Midfielder,Forward
Ryan Christie,SCO,Bournemouth,"28 years,  days",32.3,117,3.62,88.0,8.0,7.0,5.0,6.0,3.0,6,0.19,5.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Carney Chukwuemeka,ENG,Chelsea,"19 years,  days",2.5,9,3.57,7.0,0.0,1.0,1.0,0.0,0.0,4,1.59,2.0,0.0,1.0,1.0,0.0,0.0,Midfielder,Forward
Bobby Clark,ENG,Liverpool,"18 years,  days",1.0,1,1.01,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Jordan Clark,ENG,Luton Town,"29 years,  days",14.5,29,2.0,23.0,0.0,2.0,3.0,1.0,0.0,1,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Nathaniel Clyne,ENG,Crystal Palace,"32 years,  days",14.9,8,0.54,6.0,0.0,0.0,1.0,0.0,1.0,1,0.07,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Séamus Coleman,IRL,Everton,"34 years,  days",7.4,6,0.81,5.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Nathan Collins,IRL,Brentford,"22 years,  days",29.5,24,0.81,22.0,0.0,0.0,1.0,0.0,1.0,2,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Levi Colwill,ENG,Chelsea,"20 years,  days",20.0,27,1.35,21.0,1.0,1.0,4.0,0.0,0.0,3,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Lewis Cook,ENG,Bournemouth,"26 years,  days",31.0,77,2.49,48.0,22.0,2.0,2.0,0.0,3.0,4,0.13,3.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Jack Cork,ENG,Burnley,"34 years,  days",0.3,1,3.33,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Maxwel Cornet,CIV,West Ham,"26 years,  days",1.2,5,4.02,4.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Vladimír Coufal,CZE,West Ham,"30 years,  days",34.8,77,2.21,50.0,18.0,3.0,2.0,3.0,1.0,12,0.34,12.0,0.0,0.0,0.0,0.0,0.0,Defender,
Philippe Coutinho,BRA,Aston Villa,"31 years,  days",0.3,2,7.2,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Aaron Cresswell,ENG,West Ham,"33 years,  days",4.8,12,2.48,7.0,3.0,0.0,0.0,2.0,0.0,1,0.21,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Marc Cucurella,ESP,Chelsea,"25 years,  days",19.8,35,1.77,28.0,1.0,1.0,1.0,4.0,0.0,3,0.15,2.0,0.0,0.0,0.0,1.0,0.0,Defender,
Josh Cullen,IRL,Burnley,"27 years,  days",22.9,66,2.89,56.0,6.0,0.0,1.0,2.0,1.0,8,0.35,6.0,2.0,0.0,0.0,0.0,0.0,Midfielder,
Matheus Cunha,BRA,Wolves,"24 years,  days",27.1,78,2.88,46.0,1.0,12.0,8.0,8.0,3.0,13,0.48,9.0,0.0,1.0,1.0,1.0,1.0,Forward,Midfielder
Sam Curtis,IRL,Sheffield Utd,"17 years,  days",0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Mahmoud Dahoud,GER,Brighton,"27 years,  days",5.0,13,2.59,13.0,0.0,0.0,0.0,0.0,0.0,2,0.4,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Ameen Al-Dakhil,BEL,Burnley,"21 years,  days",11.7,8,0.68,5.0,0.0,1.0,2.0,0.0,0.0,1,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Diogo Dalot,POR,Manchester Utd,"24 years,  days",35.3,78,2.21,67.0,4.0,2.0,3.0,1.0,1.0,7,0.2,6.0,0.0,0.0,1.0,0.0,0.0,Defender,
Mikkel Damsgaard,DEN,Brentford,"23 years,  days",9.4,26,2.78,18.0,3.0,0.0,3.0,1.0,1.0,5,0.54,3.0,0.0,0.0,1.0,1.0,0.0,Midfielder,
Danilo,BRA,Nottingham Forest,"22 years,  days",19.9,48,2.41,34.0,5.0,4.0,4.0,1.0,0.0,4,0.2,4.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Arnaut Danjuma,NED,Everton,"26 years,  days",6.6,18,2.72,9.0,0.0,1.0,5.0,2.0,1.0,1,0.15,0.0,0.0,0.0,1.0,0.0,0.0,Midfielder,Forward
Jayden Danns,ENG,Liverpool,"17 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Josh Dasilva,ENG,Brentford,"24 years,  days",0.3,1,3.75,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
David Datro Fofana,CIV,Burnley,"20 years,  days",9.8,18,1.84,8.0,0.0,4.0,4.0,1.0,1.0,2,0.2,0.0,0.0,2.0,0.0,0.0,0.0,Forward,
Ben Davies,WAL,Tottenham,"30 years,  days",12.1,15,1.24,14.0,0.0,0.0,0.0,1.0,0.0,2,0.17,1.0,0.0,0.0,0.0,1.0,0.0,Defender,
Tom Davies,ENG,Sheffield Utd,"25 years,  days",2.5,6,2.44,4.0,0.0,0.0,1.0,0.0,1.0,1,0.41,0.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Craig Dawson,ENG,Wolves,"33 years,  days",24.5,12,0.49,8.0,0.0,0.0,3.0,0.0,1.0,1,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Kevin De Bruyne,BEL,Manchester City,"32 years,  days",13.6,100,7.36,73.0,17.0,2.0,5.0,3.0,0.0,16,1.18,12.0,3.0,0.0,0.0,1.0,0.0,Midfielder,
Hannes Delcroix,BEL,Burnley,"24 years,  days",6.5,7,1.07,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Leander Dendoncker,BEL,Aston Villa,"28 years,  days",1.3,2,1.51,1.0,0.0,0.0,0.0,1.0,0.0,1,0.76,0.0,0.0,0.0,0.0,1.0,0.0,Midfielder,
Moussa Diaby,FRA,Aston Villa,"24 years,  days",24.2,80,3.31,64.0,1.0,6.0,7.0,2.0,0.0,10,0.41,9.0,0.0,1.0,0.0,0.0,0.0,Forward,Midfielder
Amad Diallo,CIV,Manchester Utd,"21 years,  days",4.3,20,4.62,16.0,0.0,3.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Amadou Diallo,ENG,Newcastle Utd,"20 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
