Player,Nation,Squad,Comp,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Nayef Aguerd,MAR,West Ham,eng Premier League,27 years,20.6,14,0.68,12.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ruben Aguilar,FRA,Lens,fr Ligue 1,30 years,21.4,47,2.2,43.0,1.0,1.0,2.0,0.0,0.0,5,0.23,5.0,0.0,0.0,0.0,0.0,0.0,Defender,
Brandon Aguilera,CRC,Nottingham Forest,eng Premier League,20 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Naouirou Ahamada,FRA,Crystal Palace,eng Premier League,21 years,3.9,9,2.3,9.0,0.0,0.0,0.0,0.0,0.0,3,0.77,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Anel Ahmedhodžić,BIH,Sheffield Utd,eng Premier League,24 years,29.4,26,0.88,23.0,0.0,0.0,3.0,0.0,0.0,1,0.03,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Joseph Aidoo,GHA,Celta Vigo,es La Liga,27 years,4.5,6,1.33,4.0,0.0,1.0,1.0,0.0,0.0,1,0.22,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Ola Aina,NGA,Nottingham Forest,eng Premier League,26 years,18.8,38,2.02,25.0,5.0,3.0,1.0,3.0,1.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Rayan Aït-Nouri,ALG,Wolves,eng Premier League,22 years,25.9,65,2.51,41.0,9.0,6.0,3.0,6.0,0.0,5,0.19,2.0,0.0,0.0,0.0,3.0,0.0,Defender,Midfielder
Tosin Aiyegun,BEN,Lorient,fr Ligue 1,25 years,10.0,13,1.3,12.0,0.0,0.0,0.0,1.0,0.0,1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,Midfielder,Forward
Kristoffer Ajer,NOR,Brentford,eng Premier League,25 years,20.4,27,1.33,24.0,0.0,1.0,2.0,0.0,0.0,3,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ludovic Ajorque,FRA,Mainz 05,de Bundesliga,29 years,15.1,37,2.45,29.0,1.0,0.0,1.0,5.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Manuel Akanji,SUI,Manchester City,eng Premier League,28 years,27.9,55,1.97,45.0,1.0,0.0,3.0,2.0,4.0,4,0.14,4.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Marley Aké,FRA,Udinese,it Serie A,22 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Nathan Aké,NED,Manchester City,eng Premier League,28 years,22.7,36,1.59,28.0,0.0,2.0,4.0,1.0,1.0,6,0.26,3.0,0.0,1.0,2.0,0.0,0.0,Defender,
Ilias Akhomach,MAR,Villarreal,es La Liga,19 years,16.8,57,3.4,34.0,2.0,13.0,2.0,5.0,1.0,3,0.18,2.0,0.0,1.0,0.0,0.0,0.0,Midfielder,Forward
Sergio Akieme,ESP,Almería,es La Liga,25 years,18.6,32,1.72,22.0,3.0,4.0,1.0,2.0,0.0,1,0.05,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Sergio Akieme,ESP,Reims,fr Ligue 1,25 years,9.1,19,2.09,12.0,1.0,3.0,2.0,0.0,1.0,1,0.11,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Ebenezer Akinsanmiro,NGA,Inter,it Serie A,18 years,0.2,1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Maghnes Akliouche,FRA,Monaco,fr Ligue 1,21 years,17.9,88,4.91,59.0,11.0,6.0,3.0,4.0,5.0,9,0.5,7.0,0.0,0.0,0.0,0.0,2.0,Midfielder,Forward
Paul Akouokou,CIV,Betis,es La Liga,25 years,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Paul Akouokou,CIV,Lyon,fr Ligue 1,25 years,3.4,6,1.75,4.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Jean-Daniel Akpa-Akpro,CIV,Monza,it Serie A,30 years,7.8,5,0.64,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
David Akpan Ankeye,NGA,Genoa,it Serie A,21 years,0.6,1,1.58,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Kevin Akpoguma,NGA,Hoffenheim,de Bundesliga,28 years,12.2,16,1.31,13.0,0.0,2.0,0.0,1.0,0.0,3,0.25,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
David Alaba,AUT,Real Madrid,es La Liga,31 years,12.8,18,1.4,13.0,4.0,0.0,1.0,0.0,0.0,1,0.08,0.0,1.0,0.0,0.0,0.0,0.0,Defender,
Luis Alberto,ESP,Lazio,it Serie A,30 years,25.7,118,4.6,81.0,29.0,0.0,7.0,0.0,1.0,9,0.35,8.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Raúl Albiol,ESP,Villarreal,es La Liga,37 years,22.6,4,0.18,2.0,0.0,0.0,2.0,0.0,0.0,1,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Thiago Alcántara,ESP,Liverpool,eng Premier League,32 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Carlos Alcaraz,ARG,Juventus,it Serie A,20 years,4.2,6,1.42,6.0,0.0,0.0,0.0,0.0,0.0,1,0.24,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Rubén Alcaraz,ESP,Cádiz,es La Liga,32 years,34.8,75,2.15,52.0,10.0,1.0,7.0,2.0,3.0,5,0.14,3.0,0.0,0.0,2.0,0.0,0.0,Midfielder,
Omar Alderete,PAR,Getafe,es La Liga,26 years,24.4,31,1.27,24.0,0.0,4.0,2.0,1.0,0.0,3,0.12,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Iván Alejo,ESP,Cádiz,es La Liga,28 years,18.8,37,1.97,25.0,3.0,1.0,0.0,8.0,0.0,5,0.27,3.0,0.0,0.0,0.0,2.0,0.0,Midfielder,
Carles Aleñá,ESP,Getafe,es La Liga,25 years,11.3,36,3.18,21.0,12.0,0.0,1.0,1.0,1.0,2,0.18,1.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Trent Alexander-Arnold,ENG,Liverpool,eng Premier League,24 years,23.9,126,5.27,80.0,33.0,5.0,6.0,0.0,2.0,7,0.29,4.0,3.0,0.0,0.0,0.0,0.0,Defender,
Aboubacar Ali,COM,Strasbourg,fr Ligue 1,17 years,1.4,1,0.69,1.0,0.0,0.0,0.0,0.0,0.0,1,0.69,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Mohamed Ali Cho,FRA,Real Sociedad,es La Liga,19 years,2.8,3,1.08,1.0,0.0,1.0,0.0,1.0,0.0,1,0.36,0.0,0.0,0.0,0.0,1.0,0.0,Forward,Midfielder
Mohamed Ali Cho,FRA,Nice,fr Ligue 1,19 years,9.6,34,3.56,20.0,4.0,5.0,0.0,5.0,0.0,4,0.42,3.0,0.0,0.0,0.0,1.0,0.0,Forward,
Faride Alidou,GER,Köln,de Bundesliga,22 years,14.2,34,2.39,23.0,0.0,5.0,1.0,5.0,0.0,3,0.21,1.0,0.0,1.0,0.0,1.0,0.0,Forward,Midfielder
Nabil Alioui,FRA,Le Havre,fr Ligue 1,24 years,11.2,40,3.56,24.0,11.0,3.0,2.0,0.0,0.0,2,0.18,1.0,1.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Alisson,BRA,Liverpool,eng Premier League,30 years,28.0,11,0.39,10.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Tadeo Allende,ARG,Celta Vigo,es La Liga,24 years,3.7,9,2.41,4.0,0.0,1.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Jim Allevinah,GAB,Clermont Foot,fr Ligue 1,28 years,20.7,58,2.8,37.0,2.0,6.0,6.0,6.0,1.0,3,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Domingos André Ribeiro Almeida,POR,Valencia,es La Liga,23 years,10.7,29,2.71,18.0,3.0,3.0,3.0,2.0,0.0,1,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Miguel Almirón,PAR,Newcastle Utd,eng Premier League,29 years,21.5,52,2.41,40.0,1.0,3.0,7.0,1.0,0.0,4,0.19,2.0,1.0,0.0,1.0,0.0,0.0,Forward,
Pontus Almqvist,SWE,Lecce,it Serie A,24 years,23.4,64,2.74,38.0,1.0,9.0,5.0,8.0,3.0,7,0.3,4.0,0.0,0.0,0.0,2.0,1.0,Forward,Midfielder
Marcos Alonso,ESP,Barcelona,es La Liga,32 years,2.8,8,2.86,7.0,1.0,0.0,0.0,0.0,0.0,1,0.36,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Adrià Altimira,ESP,Villarreal,es La Liga,22 years,8.6,6,0.7,6.0,0.0,0.0,0.0,0.0,0.0,1,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Sergi Altimira,ESP,Betis,es La Liga,21 years,6.3,14,2.22,8.0,1.0,2.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Edson Álvarez,MEX,West Ham,eng Premier League,25 years,26.4,32,1.21,24.0,0.0,2.0,3.0,0.0,3.0,2,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Gastón Álvarez,URU,Getafe,es La Liga,23 years,28.2,22,0.78,17.0,1.0,1.0,3.0,0.0,0.0,1,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Hugo Álvarez,ESP,Celta Vigo,es La Liga,20 years,8.5,31,3.66,25.0,2.0,4.0,0.0,0.0,0.0,2,0.24,1.0,0.0,1.0,0.0,0.0,0.0,Midfielder,Defender
Julián Álvarez,ARG,Manchester City,eng Premier League,23 years,29.4,118,4.01,74.0,28.0,4.0,10.0,2.0,0.0,15,0.51,12.0,1.0,0.0,0.0,2.0,0.0,Midfielder,Forward
Yeray Álvarez,ESP,Athletic Club,es La Liga,28 years,12.8,10,0.78,8.0,2.0,0.0,0.0,0.0,0.0,2,0.16,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Skelly Alvero,FRA,Lyon,fr Ligue 1,21 years,4.7,12,2.54,7.0,1.0,1.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Skelly Alvero,FRA,Werder Bremen,de Bundesliga,21 years,1.4,4,2.9,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Papa Amadou Diallo,SEN,Metz,fr Ligue 1,19 years,9.9,20,2.02,18.0,0.0,0.0,1.0,0.0,1.0,1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Selim Amallah,MAR,Valencia,es La Liga,26 years,6.7,14,2.09,7.0,0.0,3.0,0.0,4.0,0.0,1,0.15,1.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Amath,SEN,Mallorca,es La Liga,27 years,4.4,17,3.87,6.0,0.0,5.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Lorenzo Amatucci,ITA,Fiorentina,it Serie A,19 years,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Jordan Amavi,FRA,Brest,fr Ligue 1,29 years,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Zeki Amdouni,SUI,Burnley,eng Premier League,22 years,21.7,50,2.3,30.0,0.0,5.0,7.0,5.0,3.0,4,0.18,1.0,0.0,2.0,0.0,1.0,0.0,Forward,
Kelvin Amian,FRA,Nantes,fr Ligue 1,25 years,8.9,8,0.9,8.0,0.0,0.0,0.0,0.0,0.0,1,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Bruno Amione,ARG,Hellas Verona,it Serie A,21 years,6.4,3,0.47,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Michael Amir Murillo,PAN,Marseille,fr Ligue 1,27 years,11.1,15,1.35,9.0,1.0,1.0,0.0,2.0,2.0,3,0.27,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Nadiem Amiri,GER,Mainz 05,de Bundesliga,26 years,14.6,91,6.23,34.0,43.0,6.0,1.0,4.0,3.0,11,0.75,6.0,4.0,1.0,0.0,0.0,0.0,Midfielder,
Nadiem Amiri,GER,Leverkusen,de Bundesliga,26 years,1.0,1,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Kofi Amoako,GER,Wolfsburg,de Bundesliga,18 years,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Sofyan Amrabat,MAR,Manchester Utd,eng Premier League,26 years,10.4,19,1.82,19.0,0.0,0.0,0.0,0.0,0.0,1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Joachim Andersen,DEN,Crystal Palace,eng Premier League,27 years,37.9,47,1.24,41.0,1.0,0.0,3.0,0.0,2.0,5,0.13,5.0,0.0,0.0,0.0,0.0,0.0,Defender,
Elliot Anderson,ENG,Newcastle Utd,eng Premier League,20 years,11.4,34,2.98,28.0,0.0,4.0,2.0,0.0,0.0,3,0.26,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Felipe Anderson,BRA,Lazio,it Serie A,30 years,30.8,92,2.99,76.0,2.0,4.0,5.0,2.0,3.0,12,0.39,10.0,0.0,1.0,0.0,0.0,1.0,Forward,Midfielder
Benjamin André,FRA,Lille,fr Ligue 1,32 years,28.6,49,1.72,41.0,1.0,0.0,0.0,5.0,2.0,3,0.11,1.0,0.0,0.0,0.0,2.0,0.0,Midfielder,
Komnen Andrić,SRB,Clermont Foot,fr Ligue 1,28 years,1.9,6,3.2,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Robert Andrich,GER,Leverkusen,de Bundesliga,28 years,18.8,54,2.88,47.0,0.0,0.0,4.0,2.0,1.0,6,0.32,6.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Miguel Ángel Rubio,ESP,Granada,es La Liga,25 years,17.3,6,0.35,5.0,0.0,1.0,0.0,0.0,0.0,1,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Angeliño,ESP,Roma,it Serie A,26 years,12.7,33,2.6,30.0,2.0,0.0,1.0,0.0,0.0,3,0.24,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ângelo,BRA,Strasbourg,fr Ligue 1,18 years,12.2,54,4.45,43.0,2.0,5.0,1.0,2.0,1.0,6,0.49,5.0,0.0,0.0,0.0,1.0,0.0,Forward,Midfielder
Fabrizio Angileri,ARG,Getafe,es La Liga,29 years,1.8,9,4.91,8.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Jaidon Anthony,ENG,Bournemouth,eng Premier League,23 years,1.7,3,1.78,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Waldemar Anton,GER,Stuttgart,de Bundesliga,27 years,32.1,39,1.22,33.0,0.0,0.0,4.0,1.0,1.0,9,0.28,8.0,0.0,0.0,1.0,0.0,0.0,Defender,
Michail Antonio,JAM,West Ham,eng Premier League,33 years,18.8,33,1.75,18.0,1.0,5.0,3.0,4.0,2.0,5,0.27,4.0,0.0,1.0,0.0,0.0,0.0,Forward,
Antony,BRA,Manchester Utd,eng Premier League,23 years,14.7,55,3.74,45.0,1.0,2.0,0.0,4.0,3.0,3,0.2,1.0,0.0,0.0,0.0,0.0,2.0,Forward,
Christopher Antwi-Adjei,GHA,Bochum,de Bundesliga,29 years,13.5,48,3.55,31.0,9.0,2.0,3.0,3.0,0.0,4,0.3,4.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Houssem Aouar,ALG,Roma,it Serie A,25 years,8.4,21,2.5,12.0,4.0,1.0,2.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Stredair Appuah,FRA,Nantes,fr Ligue 1,19 years,0.9,2,2.14,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Mauro Arambarri,URU,Getafe,es La Liga,27 years,3.8,9,2.39,8.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Jon Aramburu,VEN,Real Sociedad,es La Liga,21 years,6.0,4,0.66,3.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Asaf Arania,ISR,Darmstadt 98,de Bundesliga,17 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Julian Araujo,MEX,Las Palmas,es La Liga,21 years,16.2,31,1.91,25.0,2.0,2.0,0.0,1.0,1.0,1,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ronald Araújo,URU,Barcelona,es La Liga,24 years,22.2,22,0.99,14.0,0.0,1.0,7.0,0.0,0.0,4,0.18,1.0,0.0,0.0,3.0,0.0,0.0,Defender,
Oliver Arblaster,ENG,Sheffield Utd,eng Premier League,19 years,10.5,23,2.2,19.0,2.0,0.0,1.0,0.0,1.0,2,0.19,1.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Cameron Archer,ENG,Sheffield Utd,eng Premier League,22 years,20.4,49,2.41,32.0,0.0,9.0,5.0,1.0,2.0,4,0.2,2.0,0.0,1.0,1.0,0.0,0.0,Forward,Midfielder
Cameron Archer,ENG,Aston Villa,eng Premier League,22 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Alphonse Areola,FRA,West Ham,eng Premier League,30 years,30.0,2,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Adu Ares,ESP,Athletic Club,es La Liga,21 years,2.9,3,1.02,2.0,0.0,1.0,0.0,0.0,0.0,1,0.34,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Jesús Areso,ESP,Osasuna,es La Liga,24 years,29.6,70,2.37,57.0,5.0,6.0,1.0,1.0,0.0,12,0.41,9.0,1.0,2.0,0.0,0.0,0.0,Defender,
Simone Aresti,ITA,Cagliari,it Serie A,37 years,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Matias Arezo,URU,Granada,es La Liga,20 years,4.1,5,1.22,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Iñigo Arguibide,ESP,Osasuna,es La Liga,18 years,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Yoël Armougom,FRA,Clermont Foot,fr Ligue 1,25 years,2.6,8,3.08,7.0,0.0,0.0,1.0,0.0,0.0,1,0.38,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
